"id","course_id","quarter","start_time","end_time","monday","tuesday","wednesday","thursday","friday","location","primary_instructor_id","primary_instructor_name","instructors"
"e47ce485-4cce-41fe-a643-f28b1e2c4f90","225047","spring","12:00:00 PM","1:20:00 PM","False","True","False","True","False","Hewlett Teaching Center Rm 101","eryu","Ernest Ryu","[""eryu"", ""yalan""]"
"083fe20d-4fb7-4774-baa7-4a46785bce01","210326","fall","9:30:00 AM","10:20:00 AM","True","False","True","False","False","Departmental Room","rogelioh","Rogelio Hernandez-Lopez","[""aengel"", ""rogelioh"", ""gevomkr"", ""stavs"", ""nabney""]"
"0da36ff2-fffe-4697-8641-774d47cffffa","202189","fall","9:00:00 AM","10:20:00 AM","False","True","False","True","False","380-380W","zhuxw","Xinwen Zhu","[""zhuxw""]"
"c230810b-7ddf-4201-b3d9-45ae77300651","114959","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","Bishop Auditorium","jdrosa","Jonathan Rosa","[""jdrosa"", ""osward"", ""chancec"", ""ajkimmel"", ""aeromero"", ""smwilso8""]"
"f1298349-b49d-41b0-80ee-51aedce1e985","113452","winter","8:30:00 AM","10:20:00 AM","True","False","True","False","False","GSB Faculty West 332","leinav","Liran Einav","[""ayurukog"", ""leinav""]"
"facb4618-9c5e-417d-9a37-e1ad7893dede","221396","winter","1:30:00 PM","2:50:00 PM","True","False","True","False","True","Departmental Room","jweinst","Jeremy Weinstein","[""sahami"", ""reich"", ""kotov"", ""joyachen"", ""dludeke"", ""ak33"", ""adrazen"", ""evanir"", ""baom"", ""khattmu"", ""ewisner"", ""bitter"", ""ekorkmaz"", ""jdeasy3"", ""asvinod"", ""yilinwu"", ""sj99"", ""gwalker3"", ""jweinst""]"
"84bd69b2-d23f-4b1d-a43d-d5e3cec46d48","121689","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","Braun 103","talyab","Talya Berger","[""dkoplitz"", ""talyab""]"
"dc1571a0-bc56-4d7d-b340-b1a2436a9de4","221806","winter","12:00:00 PM","1:20:00 PM","False","True","False","True","False","McCullough 122","gbjacks","Gabrielle Jackson","[""gbjacks"", ""ahazel""]"
"339558a1-7de9-47d1-b068-c2e6bf3c3bac","208423","spring","3:00:00 PM","4:20:00 PM","False","True","False","True","False","Thornton 110","peterk","Peter Kitanidis","[""yenchia"", ""peterk""]"
"d56bdcae-6e51-48f9-bc93-744dc092b98b","218601","spring","3:00:00 PM","4:20:00 PM","True","False","True","False","False","370-370","akundaje","Anshul Kundaje","[""jamesz"", ""akundaje"", ""atwang""]"
"e6521863-986d-4557-8234-ed23b29509ff","222591","spring","1:30:00 PM","4:20:00 PM","False","True","False","True","False","Departmental Room","jbcremer","Jonas Cremer","[""ejcosta"", ""ehpulido"", ""ngsharaf"", ""srl"", ""jbcremer""]"
"c8bb947e-0cb4-4da0-9114-947a5b3a6370","125485","winter","9:30:00 AM","10:20:00 AM","True","False","True","False","True","380-380F","adembo","Amir Dembo","[""kangjie"", ""tsudijon"", ""adembo""]"
"4a1855f2-603a-4266-8301-dbd8e6f79f82","122303","spring","12:00:00 PM","1:20:00 PM","False","True","False","True","False","260-113","jsorourk","Joshua ORourke","[""pennl"", ""bsparkes"", ""mcguthry"", ""jsorourk""]"
"be94e4db-7dc2-463f-9cf2-767839643e52","224377","winter","1:30:00 PM","2:50:00 PM","True","False","True","False","False","Littlefield 103","walder","Andrew Walder","[""walder""]"
"7b0b98d7-f3d0-49c6-a9a8-d9d303a3b1ce","216242","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","530-127","beischer","Tom Beischer","[""beischer"", ""gwtuttle""]"
"8ed02929-9c55-4e25-873b-cb067f1d992a","214579","winter","12:00:00 PM","1:20:00 PM","False","True","False","True","False","380-380F","mmccall","Marsh McCall","[""sgpowell"", ""mmccall""]"
"33bfc5a9-95b1-4ce9-a258-e5af263ddf82","215015","winter","3:00:00 PM","4:20:00 PM","False","True","False","True","False","McCullough 126","haiwang","Hai Wang","[""haiwang""]"
"4d066fea-2183-42b7-96e0-8dfdff1cf4ad","121894","fall","10:30:00 AM","12:20:00 PM","True","False","True","False","False","Knoll217","hestak","Hassan Estakhrian","[""hestak"", ""lloydmay""]"
"0bae56b3-c394-410e-93d4-5e2058ccc3f9","125396","fall","11:30:00 AM","12:20:00 PM","True","True","True","True","False","380-380X","lsymul","Laura Marie Symul","[""huixu18"", ""ajing"", ""lsymul""]"
"04462bfd-21e1-4260-8ae3-13420f1fbbb9","202262","winter","3:30:00 PM","5:20:00 PM","True","False","True","False","False","Departmental Room","rairan","Raag Airan","[""ghanouni"", ""kimbutts"", ""rairan"", ""sai99"", ""padamson""]"
