"course_id","year","name","subject","title","description","units_min","units_max","repeatable","grading_basis","final_exam","academic_group","academic_org","way_a_ii","way_aqr","way_ce","way_edp","way_er","way_fr","way_sma","way_si"
"222579","2022-2023","EARTHSYS 2","EARTHSYS","Chemistry of the Earth and Planets (GEOLSCI 2)","Chemistry of the Earth and PlanetsCouse Description: Introduction to chemical principles with an emphasis on applications in the Earth Sciences. Topics include: origin and distribution of the elements in the solar system and on Earth, origin and structure of the Earth, its oceans and atmosphere, crystal chemistry, structure, and transformations, predicting and balancing reactions; thermodynamics, phase diagrams, high temperature and aqueous geochemistry, weathering, isotope geochemistry, and organic geochemistry. Students will also be exposed to analytical methods used in the Earth sciences.","3","3","True","Letter (ABCD/NP)","True","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"208356","2022-2023","EARTHSYS 4","EARTHSYS","Coevolution of Earth and Life (GEOLSCI 4)","Earth is the only planet in the universe currently known to harbor life. When and how did Earth become inhabited? How have biological activities altered the planet? How have environmental changes affected the evolution of life? In this course, we explore these questions by developing an understanding of life's multi-billion year history using tools from biology, geology, paleontology, and chemistry. We discuss major groups of organisms, when they appear in the rock record, and how they have interacted with the Earth to create the habitats and ecosystems that we are familiar with today.","4","4","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"129082","2022-2023","EARTHSYS 10","EARTHSYS","Introduction to Earth Systems","For non-majors and prospective Earth Systems majors. Multidisciplinary approach using the principles of geology, biology, engineering, and economics to describe how the Earth operates as an interconnected, integrated system. Goal is to understand global change on all time scales. Focus is on sciences, technological principles, and sociopolitical approaches applied to solid earth, oceans, water, energy, and food and population. Case studies: environmental degradation, loss of biodiversity, and resource sustainability.","4","4","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"209505","2022-2023","EARTHSYS 11","EARTHSYS","Introduction to Geology (GEOLSCI 1)","Why are earthquakes, volcanoes, and natural resources located at specific spots on the Earth surface? Why are there rolling hills to the west behind Stanford, and soaring granite walls to the east in Yosemite? What was the Earth like in the past, and what will it be like in the future? Lectures, hands-on laboratories, in-class activities, and one virtual field trip will help you see the Earth through the eyes of a geologist. Topics include plate tectonics, the cycling and formation of different types of rocks, and how geologists use rocks to understand Earth's history.","5","5","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","True","False"
"222712","2022-2023","EARTHSYS 100A","EARTHSYS","Data Science for Geoscience (GEOLSCI 6)","This course provides an overview of the most relevant areas of data science to address geoscientific challenges and questions as they pertain to the environment, earth resources &amp; hazards. The focus lies on the methods that treat common characters of geoscientific data: multivariate, multi-scale, compositional, geospatial and space-time. In addition, the course will treat those statistical method that allow a quantification of the human dimension by looking at quantifying impact on humans (e.g. hazards, contamination) and how humans impact the environment (e.g. contamination, land use). The course focuses on developing skills that are not covered in traditional statistics and machine learning courses.","3","3","True","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","False","False"
"129668","2022-2023","EARTHSYS 101","EARTHSYS","Energy and the Environment (ENERGY 101)","Energy use in modern society and the consequences of current and future energy use patterns. Case studies illustrate resource estimation, engineering analysis of energy systems, and options for managing carbon emissions. Focus is on energy definitions, use patterns, resource estimation, pollution.","3","3","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","True","False"
"203268","2022-2023","EARTHSYS 102","EARTHSYS","Fundamentals of Renewable Power (ENERGY 102)","Do you want a much better understanding of renewable power technologies? Did you know that wind and solar are the fastest growing forms of electricity generation? Are you interested in hearing about the most recent, and future, designs for green power? Do you want to understand what limits power extraction from renewable resources and how current designs could be improved? This course dives deep into these and related issues for wind, solar, biomass, geothermal, tidal and wave power technologies. We welcome all student, from non-majors to MBAs and grad students. If you are potentially interested in an energy or environmental related major, this course is particularly useful.","3","3","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"129085","2022-2023","EARTHSYS 103","EARTHSYS","Understand Energy (CEE 107A, CEE 207A, ENERGY 107A, ENERGY 207A)","Energy is the number one contributor to climate change and has significant consequences for our society, political system, economy, and environment. Energy is also a fundamental driver of human development and opportunity. In taking this course, students will not only understand the fundamentals of each energy resource - including significance and potential, conversion processes and technologies, drivers and barriers, policy and regulation, and social, economic, and environmental impacts - students will also be able to put this in the context of the broader energy system. Both depletable and renewable energy resources are covered, including oil, natural gas, coal, nuclear, biomass and biofuel, hydroelectric, wind, solar thermal and photovoltaics (PV), geothermal, and ocean energy, with cross-cutting topics including electricity, storage, climate change and greenhouse gas emissions (GHG), sustainability, green buildings, energy efficiency, transportation, and the developing world. The 4 unit course includes lecture and in-class discussion, readings and videos, homework assignments, one on-campus field trip during lecture time and two off-campus field trips with brief report assignments. Off-campus field trips to wind farms, solar farms, nuclear power plants, natural gas power plants, hydroelectric dams, etc. Enroll for 5 units to also attend the Workshop, an interactive discussion section on cross-cutting topics that meets once per week for 80 minutes (Mondays, 12:30 PM - 1:50 PM). Open to all: pre-majors and majors, with any background! Website: https://understand-energy-course.stanford.edu/ CEE 107S/207S Understand Energy: Essentials is a shorter (3 unit) version of this course, offered summer quarter. Students should not take both for credit. Prerequisites: Algebra.","3","5","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","False","True"
"111865","2022-2023","EARTHSYS 105A","EARTHSYS","Ecology and Natural History of Jasper Ridge Biological Preserve (BIO 105A)","The Ecology and Natural History of the Jasper Ridge Biological Preserve is an upper-division course that aims to help students learn ecology and natural history using a 'living laboratory,' the Jasper Ridge Biological Preserve. The course's central goal is that, as a community of learning, we examine 'via introductory discussions, followed by hands-on experiences in the field' the scientific basis of ecological research, archaeology, edaphology, geology, species interactions, land management, and multidisciplinary environmental education. The first 10 sessions that compose the academic program are led by the instructors, faculty (world-experts on the themes of each session), and JRBP staff. In addition, this 20-week class (winter and spring quarters) trains students to become JRBP Docents that will join the Jasper Ridge education affiliates community. Completion of both Winter (BIO 105A) and Spring (BIO 105B) sequence training program is required to join the Ecology and Natural History of Jasper Ridge Biological Preserve course.","4","4","False","Satisfactory/No Credit","False","SUSTN","EARTHSYS","False","False","False","False","False","False","False","False"
"111866","2022-2023","EARTHSYS 105B","EARTHSYS","Ecology and Natural History of Jasper Ridge Biological Preserve (BIO 105B)","The Ecology and Natural History of the Jasper Ridge Biological Preserve is an upper-division course that aims to help students learn ecology and natural history using a 'living laboratory,' the Jasper Ridge Biological Preserve. The course's central goal is that, as a community of learning, we examine 'via introductory discussions, followed by hands-on experiences in the field' the scientific basis of ecological research, archaeology, edaphology, geology, species interactions, land management, and multidisciplinary environmental education. The first 10 sessions that compose the academic program are led by the instructors, faculty (world-experts on the themes of each session), and JRBP staff. In addition, this 20-week class (winter and spring quarters) trains students to become JRBP Docents that will join the Jasper Ridge education affiliates community. Completion of both Winter (BIO 105A) and Spring (BIO 105B) sequence training program is required to join the Ecology and Natural History of Jasper Ridge Biological Preserve course.","4","4","False","Satisfactory/No Credit","False","SUSTN","EARTHSYS","False","False","False","False","False","False","False","False"
"223235","2022-2023","EARTHSYS 109","EARTHSYS","Rethinking Meat: An Introduction to Alternative Proteins (EARTHSYS 209, ESS 103, ESS 203, ETHICSOC 107)","How do we feed a growing population in the face of climate change? Will Impossible Burgers become the new norm? Are you curious to learn about a frontier in bio- and chemical-engineering? Are you passionate about animal rights, human health, and sustainable agriculture? Learn about the environmental, ethical, and economic drivers behind the market for meat replacements. We'll take a deep dive into the science and technology used to develop emerging plant, fermentation and cell-based meat alternatives and explore the political challenges and behavioral adaptation needed to decrease meat consumption. Hear from entrepreneurs, researchers, and innovative startups developing sustainable and marketable alternative proteins through weekly guest lectures from industry leaders.","1","2","False","Satisfactory/No Credit","False","SUSTN","EARTHSYS","False","False","False","False","False","False","False","False"
"129139","2022-2023","EARTHSYS 110","EARTHSYS","Introduction to the Foundations of Contemporary Geophysics (GEOPHYS 110)","Introduction to the foundations of contemporary geophysics. Topics drawn from broad themes in: whole Earth geodynamics, geohazards, natural resources, and environment.  In each case the focus is on how the interpretation of a variety of geophysical measurements (e.g., gravity, seismology, heat flow, electromagnetics, and remote sensing) can be used to provide fundamental insight into the behavior of the Earth. The course will include a weekend field trip. Prerequisite: CME 100 or MATH 51, or co-registration in either.","3","3","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","True","False"
"111890","2022-2023","EARTHSYS 111","EARTHSYS","Biology and Global Change (BIO 117, EARTHSYS 217, ESS 111)","The biological causes and consequences of anthropogenic and natural changes in the atmosphere, oceans, and terrestrial and freshwater ecosystems. Topics: glacial cycles and marine circulation, greenhouse gases and climate change, tropical deforestation and species extinctions, and human population growth and resource use. Prerequisite: Biology or Human Biology core or BIO 81 or graduate standing.","4","4","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"210405","2022-2023","EARTHSYS 112","EARTHSYS","Human Society and Environmental Change (EARTHSYS 212, ESS 112, HISTORY 103D)","Interdisciplinary approaches to understanding human-environment interactions with a focus on economics, policy, culture, history, and the role of the state. Prerequisite: ECON 1.","4","4","False","Letter or Credit/No Credit","False","SUSTN","EARTHSYS","False","False","False","False","False","False","False","True"
"129122","2022-2023","EARTHSYS 113","EARTHSYS","Earthquakes and Volcanoes (GEOPHYS 90)","Is the &quot;Big One&quot; overdue in California? What kind of damage would that cause? What can we do to reduce the impact of such hazards in urban environments? Does &quot;fracking&quot; cause earthquakes and are we at risk? Is the United States vulnerable to a giant tsunami? The geologic record contains evidence of volcanic super eruptions throughout Earth's history. What causes these gigantic explosive eruptions, and can they be predicted in the future? This course will address these and related issues. For non-majors and potential Earth scientists. No prerequisites. More information at: https://stanford.box.com/s/zr8ar28efmuo5wtlj6gj2jbxle76r4lu","3","3","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","True","False"
"204551","2022-2023","EARTHSYS 114","EARTHSYS","Global Change and Emerging Infectious Disease (EARTHSYS 214, ESS 213, HUMBIO 114)","The changing epidemiological environment. How human-induced environmental changes, such as global warming, deforestation and land-use conversion, urbanization, international commerce, and human migration, are altering the ecology of infectious disease transmission, and promoting their re-emergence as a global public health threat. Case studies of malaria, cholera, hantavirus, plague, and HIV.","3","3","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","True","False"
"224781","2022-2023","EARTHSYS 119","EARTHSYS","Just Transitions Policy Lab (CSRE 155, URBANST 155)","Building off the work of the Stanford Coalition for Planning an Equitable 2035 (SCoPE), the just transitions policy lab will address transportation justice, housing justice, and labor equity concerns that have been identified by neighboring communities to Stanford and our service workers as part of local land use planning and policy processes. Building on the success of earlier housing justice policy lab initiatives, this course will support ongoing policy engagement in local land use planning process, including housing and transportation justice issues. Key concepts addressed will include environmental justice (EJ) and just transitions frameworks, as well as building awareness of the Bay Area housing crisis. The course will culminate in class projects that will involve working with community partners to address information gaps on worker experiences and housing and transportation needs. We will meet for a weekly 3-hour session. Sessions will prioritize 1) foundational concepts in environmental justice 2) current issues in our community related to housing, transportation, and labor equity, 2) peer learning through collective engagement in readings and project planning, 4) community connections related to SCoPE initiatives that deepen existing relationships, and 5) policy analysis related to local land use planning processes.  The teaching team will be accepting brief student applications for course participation prior to Winter quarter. To apply for this course, please fill out this google form: https://forms.gle/D3BPeiSEDK9kviJW8 Due December 2 at 11:59pm.Cardinal Course certified by the Haas Center for Public Service.","3","3","False","Letter or Credit/No Credit","False","SUSTN","EARTHSYS","False","False","False","False","False","False","False","False"
"219451","2022-2023","EARTHSYS 123A","EARTHSYS","Biosphere-Atmosphere Interactions (EARTHSYS 223, ESS 123, ESS 223)","How do ecosystems respond to climate change, and how can ecosystems affect climate? This course describes, quantitatively and qualitatively, the different feedback mechanisms between the land surface and climate at both local and global scales. We will also discuss how these processes can be measured across earth's diverse ecosystems, and how they are represented in earth system models used to study climate change (and models used to track the feasibility of natural climate solutions). Basic familiarity with programming is helpful.","3","4","False","Letter (ABCD/NP)","True","SUSTN","EARTHSYS","False","False","False","False","False","False","False","False"
"224229","2022-2023","EARTHSYS 127A","EARTHSYS","The Sixth Extinction (and the Other Five) (BIO 169, BIO 237, EARTHSYS 227A, GEOLSCI 137, GEOLSCI 237)","Are we living through Earth's sixth major mass extinction event? The course will address the causes and consequences of extinction. It will review current understanding of background and mass extinction in the fossil record, including aclose examination of three major mass extinction events. It will assess the intensity, selectivity, and trends in the current biodiversity crisis and assess the options and prospects for approaches to mitigating and, ultimately, recovering from this sixth extinction.","3","3","True","Letter or Credit/No Credit","False","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"215456","2022-2023","EARTHSYS 128","EARTHSYS","Evolution of Terrestrial Ecosystems (BIO 148, BIO 228, GEOLSCI 128, GEOLSCI 228)","The what, when, where, and how do we know it regarding life on land through time.  Fossil plants, fungi, invertebrates, and vertebrates (yes, dinosaurs) are all covered, including how all of those components interact with each other and with changing climates, continental drift, atmospheric composition, and environmental perturbations like glaciation and mass extinction.  The course involves both lecture and lab components.  Graduate students registering at the 200-level are expected to write a term paper, but can opt out of some labs where appropriate.","4","4","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"200162","2022-2023","EARTHSYS 141","EARTHSYS","Remote Sensing of the Oceans (EARTHSYS 241, ESS 141, ESS 241, GEOPHYS 141)","How to observe and interpret physical and biological changes in the oceans using satellite technologies. Topics: principles of satellite remote sensing, classes of satellite remote sensors, converting radiometric data into biological and physical quantities, sensor calibration and validation, interpreting large-scale oceanographic features.","3","4","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","False","False"
"129516","2022-2023","EARTHSYS 142","EARTHSYS","Remote Sensing of Land (EARTHSYS 242, ESS 162, ESS 262)","The use of satellite remote sensing to monitor land use and land cover, with emphasis on terrestrial changes. Topics include pre-processing data, biophysical properties of vegetation observable by satellite, accuracy assessment of maps derived from remote sensing, and methodologies to detect changes such as urbanization, deforestation, vegetation health, and wildfires.","3","3","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","False","False"
"129515","2022-2023","EARTHSYS 144","EARTHSYS","Fundamentals of Geographic Information Science (GIS) (ESS 164)","&quot;Everything is somewhere, and that somewhere matters.&quot; The rapid growth and maturity of spatial data technologies over the past decade represent a paradigm shift in the applied use of location data from high-level overviews of administrative interests, to highly personalized location-based services that place the individual at the center of the map, at all times. The use of spatial data and related technology continues to grow in fields ranging from environmental sciences to epidemiology to market prediction. This course will present an overview of current approaches to the use of spatial data and its creation, capture, management, analysis and presentation, in a research context. Topics will include modeling of geographic objects and associated data, modeling of geographic space and the conceptual foundations of &quot;spatial thinking,&quot; field data collection, basic spatial statistical analysis, remote sensing &amp; the use of satellite-based imagery, &quot;Big Data&quot; and machine learning approaches to spatial data, and cartographic design and presentation including the use of web-based &quot;Storymap&quot; platforms.&nbsp;The course will consist of weekly lectures, guest speakers, computer lab assignments, midterm and final exam, as well as an individual final project requirement.This course must be taken for a minimum of 3 units and a letter grade to be eligible for Ways credit.","3","4","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","False","False"
"210459","2022-2023","EARTHSYS 146B","EARTHSYS","Atmosphere, Ocean, and Climate Dynamics: the Ocean Circulation (CEE 162I, CEE 262I, ESS 246B)","Introduction to the physics governing the circulation of the atmosphere and ocean and their control on climate with emphasis on the large-scale ocean circulation. This course will give an overview of the structure and dynamics of the major ocean current systems that contribute to the meridional overturning circulation, the transport of heat, salt, and biogeochemical tracers, and the regulation of climate. Topics include the tropical ocean circulation, the wind-driven gyres and western boundary currents, the thermohaline circulation, the Antarctic Circumpolar Current, water mass formation, atmosphere-ocean coupling, and climate variability. Prerequisites: MATH 51 or CME100; and PHYSICS 41; and a course that introduces the equations of fluid motion (e.g. ESS 246A, ESS 148, or CEE 101B).","3","3","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","False","False"
"213659","2022-2023","EARTHSYS 151","EARTHSYS","Biological Oceanography (EARTHSYS 251, ESS 151, ESS 251)","Required for Earth Systems students in the oceans track.  Interdisciplinary look at how oceanic environments control the form and function of marine life.  Topics include distributions of planktonic production and abundance, nutrient cycling, the role of ocean biology in the climate system, expected effects of climate changes on ocean biology.  Local weekend field trips.  Designed to be taken concurrently with Marine Chemistry (ESS/EARTHSYS 152/252). **Time slot on Fridays is for mandatory group activities jointly between the ESS 151/251 and ESS 152/252 courses. Even if students are registered for either ESS 152/252 or ESS 152/252, all students from both courses need to be present full-time on Friday.","3","4","False","Letter or Credit/No Credit","False","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"213658","2022-2023","EARTHSYS 152","EARTHSYS","Marine Chemistry (EARTHSYS 252, ESS 152, ESS 252)","Introduction to the interdisciplinary knowledge and skills required to critically evaluate problems in marine chemistry and related disciplines.  Physical, chemical, and biological processes that determine the chemical composition of seawater.  Air-sea gas exchange, carbonate chemistry, and chemical equilibria, nutrient and trace element cycling, particle reactivity, sediment chemistry, and diagenesis.  Examination of chemical tracers of mixing and circulation and feedbacks of ocean processes on atmospheric chemistry and climate.  Designed to be taken concurrently with Biological Oceanography (ESS/EARTHSYS 151/251)","3","4","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","True","False"
"224344","2022-2023","EARTHSYS 153","EARTHSYS","Solving Social Problems with Data (COMM 140X, DATASCI 154, ECON 163, MS&E 134, POLISCI 154, PUBLPOL 155, SOC 127)","Introduces students to the interdisciplinary intersection of data science and the social sciences through an in-depth examination of contemporary social problems. Provides a foundational skill set for solving social problems with data including quantitative analysis, modeling approaches from the social sciences and engineering, and coding skills for working directly with big data. Students will also consider the ethical dimensions of working with data and learn strategies for translating quantitative results into actionable policies and recommendations. Lectures will introduce students to the methods of data science and social science and apply these frameworks to critical 21st century challenges, including climate change, educational equity, health policy, and political polarization. In-class exercises and problem sets will provide students with the opportunity to use real-world datasets to discover meaningful insights for policymakers and communities. This course is the required gateway course for the new major in Data Science &amp; Social Systems. Preference given to Data Science &amp; Social Systems B.A. majors and prospective majors. Course material and presentation will be at an introductory level. Enrollment and participation in one discussion section is required. CS106A is the only prerequisite. Syllabus available here: https://docs.google.com/document/d/1fiGKmFStyQ2_Hr6E9jr-qHQaCx46JWxOyuhXsTfIQ8o/edit?usp=sharing","5","5","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","True","False","False","False","False","False","True"
"129504","2022-2023","EARTHSYS 155","EARTHSYS","Science of Soils (ESS 155)","Physical, chemical, and biological processes within soil systems. Emphasis is on factors governing nutrient availability, plant growth and production, land-resource management, and pollution within soils. How to classify soils and assess nutrient cycling and contaminant fate. Recommended: introductory chemistry and biology.","3","4","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
"204339","2022-2023","EARTHSYS 158","EARTHSYS","Geomicrobiology (EARTHSYS 258, ESS 158, ESS 258)","How microorganisms shape the geochemistry of the Earth's crust including oceans, lakes, estuaries, subsurface environments, sediments, soils, mineral deposits, and rocks. Topics include mineral formation and dissolution; biogeochemical cycling of elements (carbon, nitrogen, sulfur, and metals); geochemical and mineralogical controls on microbial activity, diversity, and evolution; life in extreme environments; and the application of new techniques to geomicrobial systems. Recommended: introductory chemistry and microbiology such as CEE 274A.","3","3","False","Letter or Credit/No Credit","True","SUSTN","EARTHSYS","False","False","False","False","False","False","True","False"
