course_id,year,name,subject,title,description,units_min,units_max,repeatable,grading_basis,final_exam,academic_group,academic_org,way_a_ii,way_aqr,way_ce,way_edp,way_er,way_fr,way_sma,way_si
210756,2022-2023,MGTECON 617,MGTECON,Heterogeneity in Macroeconomics (ECON 237),"The goal of this course is to introduce students to frontier research in quantitative macroeconomics and finance with heterogeneous agents. We study models with imperfect financial markets and/or search frictions. We emphasize theory and numerical methods as well as tools to confront model predictions with both micro and macro data. Potential applications cover a wide range of topics in household finance, corporate finance and firm dynamics, asset pricing, housing and labor markets, business cycles and growth. (Same as MGTECON 617)",3,5,False,Letter or Credit/No Credit,False,GSB,GSB,False,False,False,False,False,False,False,False
217303,2022-2023,MGTECON 617,MGTECON,Heterogeneity in Macroeconomics,"The goal of this course is to introduce students to frontier research in quantitative macroeconomics and finance with heterogeneous agents. We study models with imperfect financial markets and/or search frictions. We emphasize theory and numerical methods as well as tools to confront model predictions with both micro and macro data. Potential applications cover a wide range of topics in household finance, corporate finance and firm dynamics, asset pricing, housing and labor markets, business cycles and growth.",3,3,False,GSB Letter Graded,False,GSB,GSB,False,False,False,False,False,False,False,False
223195,2022-2023,CS 523,CS,Research Seminar in Computer Vision + X,"With advances in deep learning, computer vision (CV) has been transforming all sorts of domains, including healthcare, human-computer interaction, transportation, art, sustainability, and so much more. In this seminar, we investigate its far-reaching applications, with a different theme chosen as the focus each quarter (e.g. the inaugural quarter was CV + Healthcare; the theme for the quarter will be listed on the class syllabus). Throughout the quarter, we deeply examine these themes in CV + X research through weekly intimate discussions with researchers from academia and industry labs who conduct research at the center of CV and other domains. Each week, students will read and prepare questions and reflections on an assigned paper authored by that week's speaker. We highly encourage students who are interested in taking an interactive, deep dive into CV research literature to apply. While there are no hard requirements, we strongly suggest having the background and fluency necessary to read and analyze AI research papers (thus MATH 51 or linear algebra, and at least one of CS 231x, 224x, 221, 229, 230, 234, 238, AI research experience for CV and AI fundamentals may be helpful).",1,2,False,Letter (ABCD/NP),False,ENGR,COMPUTSCI,False,False,False,False,False,False,False,False
223196,2022-2023,CS 523,CS,Research Seminar in Computer Vision and Healthcare,"With advances in deep learning, computer vision (CV) has been transforming healthcare, from diagnosis to prognosis, from treatment to prevention. Its far-reaching applications include surgical assistants, patient monitoring, data synthesis, and cancer screening. Before these algorithms make their way into the clinic, however, there is exciting research to develop methods that are accurate, robust, interpretable, grounded, and human-centered. In this seminar, we deeply examine these themes in medical CV research through weekly intimate discussions with researchers from academia and industry labs who conduct research at the center of CV and healthcare. Each week students will read and prepare questions and reflections on an assigned paper authored by that week's speaker. We highly encourage students who are interested in taking an interactive, deep dive into medical CV research literature to apply. While there are no hard requirements, we strongly suggest having the background and fluency necessary to read and analyze AI research papers (thus MATH 51 or linear algebra, and at least one of CS 231x, 224x, 221, 229, 230, 234, 238, AI research experience for CV and AI fundamentals may be helpful).",1,1,False,Satisfactory/No Credit,False,ENGR,COMPUTSCI,False,False,False,False,False,False,False,False
130984,2022-2023,AMSTUD 163,AMSTUD,"Land Use: Planning for Sustainable Cities (EARTHSYS 168, PUBLPOL 163, URBANST 163)","Through case studies with a focus on the San Francisco Bay Area, guest speakers, selective readings and interactive assignments, this survey course seeks to demystify the concept of land use for the non-city planner. This introductory course will review the history and trends of land use policies, as well as address a number of current themes to demonstrate the power and importance of land use. Students will explore how urban areas function, how stakeholders influence land use choices, and how land use decisions contribute to positive and negative outcomes.  By exploring the contemporary history of land use in the United States, students will learn how land use has been used as a tool for discriminatory practices and NIMBYism. Students will also learn about current land use planning efforts that seek to make cities more sustainable, resilient and equitable to address issues like gentrification, affordable housing, and sea level rise.",3,3,False,Letter or Credit/No Credit,False,H&S,AMSTU,False,False,False,False,False,False,False,True
217131,2022-2023,AMSTUD 163,AMSTUD,"Queer America (ARTHIST 163, FEMGEN 163)","This class explores queer art, photography and politics in the United States since 1930. Our approach will be grounded in close attention to the history and visual representation of sexual minorities in particular historical moments and social contexts.  We will consider the cultural and political effects of World War II, the Cold War, the civil rights movement, psychedelics, hippie culture and sexual liberation, lesbian separatism, the AIDS crisis, and marriage equality.",4,4,False,Letter (ABCD/NP),True,H&S,AMSTU,False,False,False,False,False,False,False,False
221401,2022-2023,ARTHIST 460,ARTHIST,Meta-Pictures,"What happens to a painting or a photograph when it depicts another representation inside itself? Either as a window or as a literal other picture, or even in the portrayal of a shadow cast by a tree (itself a kind of representation), works of art change their nature, expanding their claims on our imagination, when they portray these &quot;other worlds&quot; that both consolidate and destroy the main picture they inhabit. Focusing on Victor Stoichita's The Self-Aware Image (1997), among other texts, we will discuss Renaissance and Baroque painting primarily but with ample room for students to write final papers on meta-pictures from many eras and places.",5,5,False,Letter (ABCD/NP),False,H&S,ART,False,False,False,False,False,False,False,False
223191,2022-2023,ARTHIST 460,ARTHIST,"Decolonizing Theory (FILMEDIA 460, TAPS 460)","The past year has witnessed a remarkable reckoning with systemic racism and embedded structures of inequality, underscoring once again the epistemic violence of the privileging of a white, western, heteropatriarchal intellectual tradition in the academy. This seminar mobilizes multiple approaches and orientations, including decolonial theory, the Black Radical Tradition, postcolonial theory, and transnational decolonial feminisms. We consider critiques from these traditions of the Eurocentrism of critical theory, its imbrication with western modernity, colonial capitalism, and neocolonial geopolitics. Through texts ranging across frameworks of the coloniality of gender, epistemologies of the South, critical race studies, and theories of the global, we examine ways to de-universalize, de-imperialize, decolonize, and globalize Theory. Limited to graduate students; undergraduates must contact instructor for permission (seniors only).The seminar can be taken for less than 5 units only under extenuating circumstances. Contact instructor in such cases for permission.",3,5,False,Letter (ABCD/NP),False,H&S,ART,False,False,False,False,False,False,False,False
223588,2022-2023,COMPLIT 244,COMPLIT,"Literature and Technology from Frankenstein to the Futurists (ENGLISH 244, ITALIAN 244, ITALIAN 344)","Overview of defects and disorder across crystalline, amorphous, and glassy phases that are central to function and application, spanning metals, ceramics, and soft/biological matter. Structure and properties of simple 0D/1D/2D defects in crystalline materials. Scaling laws, connectivity and frustration, and hierarchy/distributions of structure across length scales in more disordered materials. Key characterization techniques. Pre-reqs: MATSCI 211 (thermo), 212 (kinetics)",3,5,False,Letter or Credit/No Credit,False,H&S,COMPARLIT,True,False,False,False,False,False,False,False
221571,2022-2023,COMPLIT 244,COMPLIT,Modern Persian Poetry,"Drawing on poems, songs, and films in addition to theoretical texts, this course retraces the struggle for a modern poetic language in Iran from the time of the Constitutional Revolution (1905/6) to the Islamic Revolution (1978/79), and beyond. Topics include: the unresolved relationship between tradition and modernity; poetry as a vehicle of enlightenment and revolution; the quest for a new poetic expression of love; the emerging possibility of a female voice in Persian poetry; the construction of historical memory through literature; responses to the experience of modern alienation; the figure of the poet as dissident; and the subversive force of poetic form itself. Poets to be read are Iraj, Bahar, Nima, Shamlu, Sepehri, Akhavan Sales, Forugh, and Esma'il Kho'i as well as some non-canonical figures. Open to undergraduates and graduates. Taught in English.",3,5,False,Letter or Credit/No Credit,False,H&S,COMPARLIT,True,False,False,False,False,False,False,False
